SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "dt_iris_split_60", 
    "policy": {
        "step_pipeline": 60
    }, 
    "setup": {
        "algorithm": "DecisionTree", 
        "dataset": "iris", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "Decision Tree on Iris with Split policy"
}
## Data Pipeline
Best score: 0.906666666667 (0.104136662345) [P] | Score: 0.906666666667 (0.104136662345) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.906666666667 (0.08) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0359010987142) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0653197264742) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0581186525805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.913333333333 (0.0845905169363) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.886666666667 (0.0896908269805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0581186525805) [P]
