SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "svm_wine_split_0", 
    "policy": {
        "step_pipeline": 0
    }, 
    "setup": {
        "algorithm": "SVM", 
        "dataset": "wine", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "S VM on Wine with Split policy"
}
## Algorithm
Best score: 0.439456484348 (0.0497320570277) [A] | Score: 0.439456484348 (0.0497320570277) [A]
Best score: 0.926973684211 (0.0508390010077) [A] | Score: 0.926973684211 (0.0508390010077) [A]
Best score: 0.926973684211 (0.0508390010077) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.972807017544 (0.035979172754) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.926973684211 (0.0508390010077) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.92865497076 (0.0816224286228) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.473191864465 (0.0402031175252) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.805301857585 (0.0909507606897) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.950584795322 (0.0574090621524) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.72000128999 (0.079881842948) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.888377192982 (0.0697676764988) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.961403508772 (0.0432867061373) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.955847953216 (0.04837303747) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.961403508772 (0.0432867061373) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.972807017544 (0.035979172754) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.972807017544 (0.035979172754) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.805301857585 (0.0909507606897) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.888377192982 (0.0697676764988) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.455538355693 (0.0396734316867) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.972807017544 (0.035979172754) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.926973684211 (0.0508390010077) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.967251461988 (0.0434444283073) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.669891640867 (0.0619393678963) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.805301857585 (0.0909507606897) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.926973684211 (0.0508390010077) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.967251461988 (0.0434444283073) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.950584795322 (0.0574090621524) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.926973684211 (0.0508390010077) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.956140350877 (0.0476527457017) [A]
Best score: 0.972807017544 (0.035979172754) [A] | Score: 0.399253955968 (0.0168715835498) [A]
